,t,x0,x1,x2,x3,u0,u1,u2,side
163,1634125297.5053694,0.09129919510881744,-0.02909573527279093,-1.6514003813022529,2.553629383914329,0.3823699951171875,-0.005859375,0.003146709768273581,left
164,1634125297.5173607,0.09128015341204394,-0.029293628621673066,-1.6534724233244726,2.5536687198492363,0.3117828369140625,-0.005859375,0.0031468747925700313,left
165,1634125297.5293553,0.09126373217232563,-0.029454911044503828,-1.6551528101563369,2.5537080578469875,0.3117828369140625,-0.005859375,0.003147039820099451,left
166,1634125297.541368,0.09124703993905964,-0.02961616564560606,-1.6568330496038546,2.5535900500422257,0.2764892578125,-0.005859375,-0.009440624380943063,left
167,1634125297.5533562,0.09123165345488939,-0.029759111644477566,-1.6583179606176117,2.5535900500422257,0.2764892578125,-0.005859375,0.0,left
168,1634125297.565355,0.09121605472567233,-0.029902034638202533,-1.6598028716313689,2.5535900500422257,0.2764892578125,-0.005859375,0.0,left
169,1634125297.57736,0.09120024378580306,-0.030044934311641434,-1.661287782645126,2.5535900500422257,0.2764892578125,-0.005859375,0.0,left
170,1634125297.589363,0.09118422067014406,-0.03018781034970616,-1.6627726936588831,2.553629383914329,0.2764892578125,-0.005859375,0.003146709768273581,left
171,1634125297.6013608,0.09116798541402567,-0.03033066243736071,-1.6642574739720892,2.5536687198492363,0.2411956787109375,-0.005859375,0.0031468747925700313,left
172,1634125297.6133633,0.0911532504198698,-0.03045522214369888,-1.6655463863655353,2.5535900500422257,0.205902099609375,-0.005859375,-0.0062935845608436125,left
173,1634125297.6253557,0.09114009078397978,-0.030561496858628065,-1.6666397562056923,2.5535900500422257,0.205902099609375,-0.005859375,0.0,left
174,1634125297.6373734,0.09112681495841073,-0.030667757121687674,-1.6677331260458492,2.5535900500422257,0.205902099609375,-0.005859375,0.0,left
175,1634125297.6493618,0.09111342295903334,-0.03077400280584808,-1.6688264958860062,2.5535900500422257,0.182373046875,-0.005859375,0.0,left
176,1634125297.6613624,0.09110111200000658,-0.03086806038165531,-1.6697893520016298,2.5535900500422257,0.182373046875,-0.005859375,0.0,left
177,1634125297.6733623,0.09108871048278841,-0.03096210606018218,-1.6707522081172534,2.5535900500422257,0.1470794677734375,-0.005859375,0.0,left
178,1634125297.6843612,0.09107804937645379,-0.03103788314262116,-1.671519293646077,2.5535900500422257,0.1470794677734375,-0.005859375,0.0,left
179,1634125297.6963675,0.09106733014575812,-0.03111365202478617,-1.6722863791749005,2.5535900500422257,0.1470794677734375,-0.005859375,0.0,left
180,1634125297.7083623,0.0910565527970088,-0.031189412662093272,-1.673053464703724,2.5535900500422257,0.1470794677734375,-0.005859375,0.0,left
181,1634125297.720364,0.09104571733654747,-0.031265165009963375,-1.6738205502325476,2.5535900500422257,0.0764923095703125,-0.005859375,0.0,left
182,1634125297.7323637,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
183,1634125297.7453592,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
184,1634125297.7573612,0.09103859770355198,-0.031304407208456855,-1.674196094587771,2.5535900500422257,-0.0,-0.0,0.0,left
